name,location,category,tags
용산어린이정원,용산구,1.0,#관광지#사전예약#서울#용산#용산가볼만한곳#용산어린이정원
은평구생활체육광장,은평구,1.0,#관광지#은평구 농구장#은평구 산책#은평구 체육공원#은평구 축구장
크라운해태 키즈뮤지엄,용산구,1.0,#과자집만들기#관광지#박물관#산업관광#산업관광지#수도권#아이와함께
한강방어백골부대전적비,영등포구,1.0,#관광지#국군#백골부대#백골부대전전비#백골연대#양화인공폭포공원
여의도공원 문화의마당,영등포구,1.0,#가을단풍길#관광지#문화의마당#여의공원로#여의도공원#여의도공원문화의마당
구로공단 노동자생활체험관,금천구,1.0,#관광지#구로공단#구로공단노동자생활체험관#금천순이의집#노동자생활체험관
고척근린공원,구로구,1.0,#가족과함께#공원#관광지#산책길#산책하기좋은곳#연인과함께#자연환경
여의도한강공원 멀티프라자,영등포구,1.0,#관광지#서울불꽃축제장소#여의도멀티프라자#여의도한강공원#여의도한강공원멀티프라자
남산골한옥마을,중구,1.0,#2024_여행가는달과함께하는_발도장여행지#가족여행#관광지#남녀노소
독립관,서대문구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사속#역사속으로
북촌 8경,종로구,1.0,#2024_여행가는달과함께하는_발도장여행지#감성사진#경치좋은곳#관광지
메타세쿼이아 숲길 (마포구),마포구,1.0,#경치여행#경치좋은곳#관광지#레포츠#산책길#산책하기#산책하기좋은곳
정법사(서울),성북구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경
순국선열추념탑,서대문구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳
안중근의사 동상,용산구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳
대림어린이공원,영등포구,1.0,#관광지#대림동놀이터#대림어린이공원#어린이공원#주차장있는공원
서울 남현동 요지,관악구,1.0,#관광지#사적#수도권#역사#역사공부#역사를품은곳#역사속으로#역사유적
안양천 사계절 테마원,양천구,1.0,#공원#관광지#도심공원#사진찍기좋은곳#산책로#산책하기좋은곳#서울산책
성덕사,중랑구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경
동대문디자인플라자(DDP),중구,1.0,#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선
금천예술공장,금천구,1.0,#공연#관광지#금천예술공장#뉴트로_감성여행#도시재생#문화콘텐츠
아모레 성수,성동구,1.0,#kbeauty#seonsudong#관광지#립피커#뷰티라운지#뷰티체험#성수가든
